,size,intensity
0,2523,13
1,2342,38
2,3042,4
3,3635,25
4,2352,30
5,2813,103
6,2532,4
7,2531,25
8,3001,17
9,3994,31
10,5887,1
11,2743,30
12,1737,1
13,2604,6
14,3519,22
15,4512,14
16,2309,1
17,2572,16
18,1795,2
19,2652,4
20,3079,1
21,2599,7
22,3496,12
23,2387,29
24,2835,26
25,1696,1
26,1530,1
27,3068,3
28,1712,27
29,2729,99
30,1963,16
31,2808,95
32,1780,2
33,4287,100
34,1943,11
35,3379,4
36,2109,1
37,1360,27
38,1913,25
39,2205,1
40,3668,3
41,3294,27
42,2591,2
43,2550,14
44,1633,10
45,2455,6
46,1457,1
47,2365,40
48,3174,44
49,1248,12
50,1886,6
51,1546,27
52,3209,59
53,1204,13
54,3996,5
55,4019,10
56,2542,49
57,1751,8
58,2069,20
59,1739,23
60,2105,22
61,2195,46
62,2742,19
63,1714,20
64,1570,8
65,1154,75
66,1931,27
67,1492,11
68,2483,32
69,967,1
70,1859,1
71,3894,32
72,1285,16
73,1648,14
74,2611,1
75,1896,83
76,2120,130
77,1578,48
78,1631,31
79,4636,56
80,4622,63
81,1987,36
82,1757,73
83,1877,36
84,2226,21
85,973,12
86,1724,85
87,1513,13
88,2045,1
89,1851,1
90,2423,8
91,1365,1
92,1254,9
93,3408,28
94,1840,1
95,1294,5
96,1585,1
97,1097,22
98,3365,255
99,1747,4
100,1406,1
101,1527,14
102,1447,7
103,1675,47
104,1428,13
105,1660,32
106,1821,33
107,1473,27
108,1245,38
109,2138,1
110,850,48
111,1444,15
112,1696,17
113,1074,35
114,1642,57
115,824,63
116,1341,42
117,678,3
118,1187,1
119,2069,31
120,3071,12
121,1731,22
122,2348,88
123,935,28
124,1987,16
125,780,1
126,1230,14
127,873,11
128,3583,20
129,2581,1
130,771,10
131,3462,45
132,1084,63
133,1069,1
134,2309,58
135,745,1
136,555,8
137,296,1
138,1114,20
139,2174,4
140,679,41
141,196,69
142,1926,36
143,1469,120
144,285,43
145,2774,47
146,3541,109
147,4336,73
148,5914,4
149,2819,121
150,3414,19
151,3067,81
152,1891,1
153,2612,17
154,2155,38
155,4732,82
156,2100,46
157,2925,39
158,1992,13
159,3219,2
160,2259,4
161,2864,42
162,2893,7
163,3113,60
164,3125,41
165,2856,4
166,3946,18
167,3524,35
168,2569,66
169,5021,68
170,2136,7
171,2062,3
172,1856,20
173,2886,78
174,3264,87
175,1886,27
176,2212,1
177,2092,19
178,2112,13
179,1987,68
180,4022,31
181,3104,11
182,2367,64
183,2102,31
184,2093,10
185,1774,21
186,1988,33
187,2730,1
188,2331,12
189,2777,26
190,1535,28
191,2353,37
192,1542,4
193,1909,5
194,5116,73
195,1766,11
196,2298,23
197,2365,60
198,2404,8
199,1964,1
200,2688,13
201,1632,4
202,1705,2
203,1719,17
204,2480,17
205,3013,20
206,2597,166
207,2349,41
208,2020,13
209,2912,152
210,1830,15
211,2584,13
212,1942,5
213,2036,2
214,2332,47
215,1772,26
216,1824,5
217,1793,21
218,2605,71
219,4282,88
220,2167,48
221,2666,140
222,1609,20
223,1744,16
224,2083,2
225,1450,18
226,1429,1
227,1455,4
228,1591,23
229,1524,17
230,2291,73
231,1924,14
232,1292,1
233,1994,8
234,2046,20
235,2167,47
236,1471,2
237,4512,79
238,1503,20
239,2169,1
240,1852,72
241,731,2
242,3337,4
243,2128,56
244,1585,1
245,2125,93
246,1688,53
247,1938,84
248,3224,45
249,1066,48
250,958,63
251,3508,9
252,577,112
253,3027,1
254,690,91
