,size,intensity
0,2866,5
1,2557,10
2,2701,16
3,3246,1
4,3351,17
5,2704,2
6,2847,26
7,2912,91
8,1821,46
9,2934,74
10,2941,48
11,1843,27
12,4713,80
13,4552,173
14,3464,65
15,4306,199
16,1241,29
17,269,0
18,4078,100
19,5368,255
20,5621,255
21,4507,255
22,2946,22
23,4113,255
24,3697,22
25,4789,95
26,3118,19
27,3977,124
28,2079,2
29,3842,7
30,2606,44
31,3953,1
32,3649,117
33,1778,255
34,3166,84
35,4273,195
36,2670,41
37,2442,36
38,2739,41
39,2982,255
40,2954,17
41,1964,6
42,3783,187
43,2330,85
44,1299,16
45,1461,1
46,3523,175
47,2462,48
48,2668,19
49,2366,26
50,2961,73
51,2358,5
52,3112,9
53,1572,136
54,1003,52
55,925,2
56,4326,255
57,1706,37
58,2000,139
59,1739,79
60,252,1
61,2897,255
62,782,3
63,218,1
64,3647,66
65,4796,73
66,4446,86
67,3247,8
68,3108,26
69,2105,19
70,2305,94
71,4088,13
72,3507,1
73,3149,107
74,2835,38
75,2508,23
76,2108,1
77,1932,6
78,1930,19
79,3777,68
80,2264,10
81,2336,8
82,2770,18
83,2107,24
84,2635,1
85,1410,1
86,1923,4
87,3613,3
88,3755,46
89,1108,1
90,272,0
91,3307,1
92,144,0
93,4185,149
94,8514,255
95,2308,50
96,3153,38
97,6564,133
98,2309,255
99,4790,2
100,4745,93
101,3134,45
102,4696,102
103,2052,1
104,6808,1
105,1635,5
106,806,7
107,4856,151
108,2772,255
109,2156,54
110,5954,255
111,2318,255
112,2613,255
113,3153,189
114,1828,15
115,2081,27
116,2208,255
117,2864,255
118,2098,255
119,5056,1
120,1035,255
121,1518,2
122,3373,213
123,1170,72
124,832,255
125,632,255
126,1031,2
127,454,16
128,6101,135
129,3826,81
130,4074,3
131,2953,46
132,2267,34
133,2023,19
134,3536,37
135,2711,2
136,3236,12
137,2178,131
138,1894,194
139,3853,76
140,1791,1
141,5251,26
142,2713,107
143,2566,1
144,2537,159
145,793,5
146,2952,33
147,4113,4
148,4001,50
149,3372,67
150,3356,12
151,3915,8
152,3557,111
153,2347,33
154,3626,17
155,2190,9
156,4758,1
157,2106,1
158,3248,37
159,2570,255
160,1895,39
161,827,3
162,3707,16
163,4231,117
164,2746,43
165,2840,99
166,3138,255
167,2054,30
168,6214,1
169,1685,1
170,3111,23
171,4337,255
172,1260,22
173,162,255
174,4117,4
175,4165,255
176,2146,90
177,2543,3
178,2907,40
179,2022,127
180,2300,1
181,3120,78
182,4833,1
183,5797,71
184,4901,1
185,2810,3
186,4669,4
187,2015,37
188,7119,1
189,2502,1
190,4395,9
191,1207,255
192,3914,165
193,3468,95
194,3321,52
195,4199,36
196,2898,2
197,2282,10
198,2173,4
199,2535,2
200,3723,68
201,3796,11
202,2926,43
203,2354,1
204,1874,1
205,1864,1
206,2002,1
207,2439,93
208,3959,95
209,1633,2
210,3219,65
211,2132,1
212,1309,65
213,877,9
214,4111,143
215,505,1
216,3014,31
217,3928,44
218,3834,1
219,3056,26
220,2792,15
221,3095,111
222,3665,8
223,2676,21
224,3659,63
225,3567,1
226,3518,45
227,2914,41
228,1903,1
229,2000,1
230,3781,80
231,1982,1
232,2582,4
233,3541,123
234,4145,86
235,3145,90
236,1185,1
237,2881,74
238,1656,1
239,2092,1
240,2175,255
241,1487,47
242,2739,107
243,3516,203
244,271,0
245,317,82
246,3588,78
247,590,50
248,5748,143
249,251,63
250,4380,27
251,3129,1
252,3659,1
253,3026,8
254,3594,2
255,2266,12
256,2832,14
257,3046,102
258,7750,50
259,1709,1
260,2012,25
261,2254,1
262,1547,1
263,6989,3
264,2837,6
265,3482,1
266,1649,5
267,2477,15
268,1787,14
269,2061,3
270,3894,10
271,773,1
272,1626,1
273,216,1
274,363,3
275,262,1
276,556,1
277,177,1
278,3316,97
279,4417,82
280,5294,19
281,5917,1
282,2883,1
283,3635,6
284,3555,11
285,5310,23
286,2068,2
287,2472,42
288,4149,5
289,6450,13
290,4149,49
291,3042,31
292,2478,1
293,2402,5
294,3588,33
295,2172,1
296,2258,15
297,1990,27
298,2728,18
299,1708,2
300,2342,27
301,1979,1
302,1908,12
303,3402,1
304,3509,6
305,1125,1
306,408,1
307,687,1
308,4261,21
309,2709,255
310,2961,58
311,5253,26
312,4334,23
313,3150,86
314,2547,174
315,2642,2
316,3765,17
317,2204,32
318,1892,17
319,2307,7
320,3316,91
321,2182,1
322,2312,21
323,910,3
324,2444,51
325,3798,4
326,6000,75
327,2694,63
328,3063,3
329,2452,65
330,2303,51
331,2217,1
332,2804,15
333,2581,255
334,2654,4
335,2385,1
336,2407,5
337,3494,255
338,6109,1
339,1212,47
340,4485,1
341,522,1
342,487,1
343,4148,1
344,2550,12
345,2901,1
346,2841,7
347,2593,1
348,4037,73
349,3369,8
350,3835,13
351,3913,1
352,2147,25
353,4151,72
354,2486,6
355,2767,1
356,3825,57
357,3027,2
358,2502,15
359,2097,18
360,2026,1
361,2958,0
362,2506,70
363,1726,1
364,4068,5
365,2508,41
366,1605,12
367,1498,1
368,640,57
369,3456,1
370,567,0
371,811,1
372,375,1
373,240,0
374,219,4
375,4447,65
376,4726,52
377,3621,35
378,4354,27
379,3353,6
380,3579,38
381,3334,28
382,5628,90
383,3407,73
384,2739,24
385,2127,18
386,1890,9
387,2935,2
388,2058,1
389,2458,1
390,1891,11
391,7489,3
392,923,1
393,2200,95
394,4391,1
395,1432,1
396,3669,46
397,4174,1
398,4585,127
399,1225,1
400,708,1
401,264,0
402,161,37
403,4740,87
404,3288,53
405,3237,19
406,3733,60
407,2284,9
408,3922,57
409,4142,113
410,2405,110
411,1802,79
412,3884,91
413,4517,101
414,3481,58
415,2357,27
416,3062,54
417,2781,44
418,4208,255
419,2221,3
420,2604,53
421,1445,4
422,2391,76
423,1645,14
424,2041,3
425,1353,3
426,2651,255
427,846,115
428,2424,45
429,3934,119
430,3060,128
431,3721,4
432,2971,255
433,265,1
434,229,20
435,4193,1
436,3197,62
437,3005,58
438,2602,18
