,size,intensity
0,4013,7
1,3466,1
2,2942,62
3,2171,17
4,4643,63
5,2892,12
6,3856,40
7,3251,40
8,2168,7
9,2826,17
10,3788,5
11,3405,2
12,3523,10
13,3305,15
14,2425,31
15,2692,9
16,3706,31
17,3343,15
18,3386,7
19,3213,36
20,2206,33
21,1823,1
22,3500,7
23,2538,1
24,2628,3
25,2394,131
26,1496,1
27,2157,20
28,2536,47
29,3127,3
30,3616,1
31,2691,79
32,2359,6
33,3129,4
34,2280,1
35,1953,17
36,2145,7
37,3137,1
38,1868,1
39,2110,6
40,1435,43
41,2464,123
42,2167,1
43,2642,4
44,2109,3
45,3160,8
46,1893,1
47,2583,1
48,1930,5
49,4521,18
50,5581,68
51,2705,33
52,2114,1
53,2060,1
54,2049,7
55,1615,8
56,1588,6
57,1711,1
58,4344,31
59,3854,1
60,4788,109
61,2258,1
62,2015,5
63,1608,6
64,1902,1
65,3513,2
66,1700,22
67,1784,5
68,1747,1
69,2282,1
70,1525,23
71,2352,7
72,1148,6
73,1618,2
74,2891,2
75,1777,6
76,1528,58
77,1772,1
78,2569,1
79,979,1
80,567,1
81,1720,1
82,466,1
83,399,51
84,878,10
85,1750,2
86,340,80
87,2021,6
88,3460,10
89,1941,8
90,898,1
91,1257,3
92,670,51
93,531,1
94,328,1
95,617,1
96,3533,2
97,4473,20
98,4256,105
99,3379,3
100,2558,3
101,2209,1
102,2902,1
103,3981,12
104,2890,15
105,2784,8
106,4196,110
107,3532,33
108,2562,3
109,5384,2
110,4976,63
111,5956,47
112,1759,1
113,4768,1
114,2178,1
115,2147,27
116,3716,1
117,3548,4
118,2123,4
119,2864,1
120,2104,48
121,2223,1
122,2748,1
123,2129,8
124,2235,1
125,2041,15
126,1965,4
127,1395,79
128,3853,7
129,1707,17
130,2063,1
131,2100,3
132,1791,21
133,3068,1
134,1618,1
135,1617,12
136,1557,1
137,2461,5
138,1864,1
139,2019,13
140,4035,15
141,3067,84
142,1993,11
143,1546,1
144,2218,15
145,2309,3
146,1134,1
147,3989,4
148,1884,1
149,2105,1
150,3588,1
151,3268,6
152,2169,7
153,1262,1
154,3080,20
155,1186,23
156,2148,24
157,2520,25
158,1254,10
159,3799,27
160,2483,0
161,2875,20
162,425,1
163,1517,13
164,804,1
165,444,1
166,1585,6
167,562,1
168,503,1
169,774,1
170,3560,4
171,5427,40
172,364,1
173,408,1
174,1016,4
175,265,1
176,4001,1
177,4557,2
178,4841,1
179,4573,1
180,2961,5
181,4357,2
182,2278,7
183,5058,10
184,6740,1
185,5839,6
186,4422,5
187,2362,9
188,1833,3
189,2816,23
190,3998,3
191,2502,1
192,3923,29
193,3496,2
194,4709,1
195,3889,1
196,3140,8
197,1502,7
198,4798,5
199,3196,64
200,3645,7
201,1661,9
202,3732,2
203,1936,255
204,1787,91
205,1498,2
206,3392,255
207,3076,1
208,4191,1
209,3057,1
210,1468,41
211,6028,255
212,1074,1
213,5937,201
214,4494,255
215,750,63
216,1332,1
217,984,1
218,1138,5
219,1923,1
220,6898,255
221,1221,1
222,903,1
223,700,1
224,318,0
225,3451,3
226,4183,1
227,3798,21
228,2707,2
229,3415,42
230,2592,2
231,3681,4
232,2861,9
233,3185,12
234,2104,3
235,2270,1
236,1925,2
237,3918,21
238,2066,1
239,2529,12
240,2265,1
241,3019,23
242,2113,2
243,3526,6
244,2529,7
245,3092,39
246,2034,1
247,2097,1
248,2165,63
249,4096,24
250,2153,1
251,5289,2
252,1979,15
253,2436,0
254,5612,2
255,2053,25
256,6510,3
257,1169,0
258,1726,0
259,1764,2
260,1699,1
261,3927,1
262,8173,11
263,2042,1
264,1525,1
265,2002,30
266,4097,1
267,1091,1
268,1016,2
269,693,1
270,595,1
271,508,0
272,328,1
273,3139,1
274,3731,4
275,4098,24
276,3154,47
277,2185,15
278,2517,26
279,2621,34
280,4016,37
281,2626,3
282,2710,2
283,3352,11
284,2418,28
285,3157,2
286,3857,1
287,3534,82
288,3096,5
289,3253,25
290,2712,2
291,2022,1
292,3323,1
293,2637,5
294,2210,19
295,2497,1
296,2378,38
297,2315,11
298,2264,38
299,2115,4
300,2744,21
301,2779,38
302,2278,1
303,2491,1
304,2699,50
305,2497,7
306,1982,16
307,3069,98
308,2388,51
309,3339,44
310,2334,20
311,2158,52
312,1944,1
313,1618,1
314,2664,58
315,1775,1
316,1681,17
317,1436,16
318,2267,1
319,2167,1
320,2208,2
321,2977,28
322,1925,1
323,2156,44
324,2870,60
325,2154,11
326,2398,1
327,1614,1
328,2040,1
329,2464,1
330,1937,2
331,1908,1
332,2094,4
333,2175,14
334,1759,42
335,1984,1
336,2016,8
337,1551,5
338,937,3
339,3259,113
340,2139,1
341,2352,6
342,3171,4
343,1589,11
344,1173,28
345,2855,1
346,2032,48
347,918,1
348,5049,1
349,1915,35
350,2156,1
351,1699,69
