,size,intensity
0,3231,14
1,3397,0
2,3470,1
3,3870,13
4,3605,3
5,4121,41
6,3179,14
7,1929,1
8,4600,1
9,2668,28
10,2723,0
11,3368,111
12,2047,65
13,3964,89
14,1206,93
15,1105,1
16,3410,101
17,1223,83
18,796,0
19,2426,1
20,4014,24
21,2558,1
22,5237,4
23,1955,5
24,5603,3
25,2011,7
26,4418,35
27,2279,5
28,2324,2
29,2055,10
30,1653,1
31,1677,1
32,1544,0
33,1765,0
34,4521,2
35,2813,42
36,1053,58
37,1466,7
38,1192,87
39,2075,73
40,3342,1
41,2751,5
42,2363,1
43,2635,12
44,1779,8
45,1814,1
46,3110,1
47,2248,5
48,2500,1
49,1794,2
50,1846,0
51,2967,11
52,2362,3
53,2884,1
54,2754,1
55,1583,1
56,1893,1
57,1341,1
58,2569,1
59,2618,4
60,2232,1
61,1718,1
62,2083,10
63,2556,20
64,3146,100
65,4433,7
66,2589,1
67,1342,1
68,1780,13
69,2350,16
70,2481,2
71,2503,0
72,2438,2
73,1549,2
74,1545,1
75,2067,0
76,1371,1
77,3031,50
78,1001,0
79,1336,1
80,1898,36
81,1669,1
82,2480,1
83,1563,0
84,2747,1
85,1521,1
86,1044,13
87,1174,46
88,5183,61
89,1701,17
90,1146,0
91,4619,29
92,1388,7
93,2448,33
94,1561,30
95,1626,1
96,3670,15
97,1180,1
98,532,16
99,400,1
100,3279,40
101,820,1
102,2364,1
103,2312,57
104,3661,43
105,480,1
106,251,0
107,2726,9
108,3377,51
109,1834,14
110,2396,4
111,1922,7
112,3735,2
113,2178,8
114,2287,2
115,2044,43
116,3715,47
117,2630,4
118,3090,108
119,3082,2
120,1783,11
121,2158,3
122,1901,2
123,1996,12
124,2368,12
125,1833,33
126,3202,12
127,2926,11
128,3426,8
129,2804,19
130,2307,1
131,1654,0
132,1924,17
133,3136,2
134,2282,2
135,3208,23
136,1747,28
137,2319,2
138,1646,4
139,2332,30
140,2114,5
141,2657,1
142,1864,6
143,2100,13
144,3516,10
145,1857,1
146,1812,1
147,2083,11
148,1902,1
149,1653,1
150,1741,11
151,1759,6
152,1410,2
153,2041,10
154,1808,1
155,1408,6
156,1642,11
157,1736,1
158,1652,32
159,1674,1
160,1674,1
161,1763,8
