,size,intensity
0,3218,5
1,2692,1
2,3200,40
3,2084,11
4,2455,1
5,3828,111
6,3305,199
7,3198,16
8,2246,19
9,1785,36
10,3487,1
11,2350,9
12,1773,3
13,2723,150
14,3219,1
15,2119,5
16,2104,3
17,2180,9
18,2432,1
19,2160,5
20,2196,29
21,2108,211
22,1750,2
23,1658,1
24,2063,14
25,1756,2
26,1970,25
27,2946,77
28,1963,2
29,1701,4
30,1819,1
31,2039,1
32,1766,49
33,1558,198
34,1682,11
35,1774,232
36,1576,8
37,3348,79
38,1509,6
39,1796,33
40,2101,224
41,1462,2
42,1724,3
43,2412,9
44,2019,5
45,4766,28
46,1091,10
47,1610,18
48,1639,1
49,1362,6
50,1672,15
51,2865,5
52,2494,2
53,1341,18
54,2209,1
55,1752,23
56,2373,32
57,867,1
58,1944,7
59,1059,147
60,1415,21
61,1246,16
62,1332,11
63,989,1
64,2725,175
65,861,152
66,2381,1
67,2746,22
68,2249,4
69,1086,1
70,633,3
71,1670,7
72,792,18
73,748,53
74,1103,1
75,1037,5
76,279,22
77,499,2
78,225,1
79,840,1
80,3729,88
81,2067,5
82,3509,17
83,3732,43
84,3393,115
85,3003,6
86,3626,88
87,2872,113
88,2423,155
89,1782,164
90,1780,8
91,2670,20
92,2652,4
93,2211,34
94,2855,255
95,3133,79
96,4017,95
97,3118,20
98,1891,30
99,4230,47
100,2474,12
101,2695,4
102,2733,3
103,1545,178
104,2377,56
105,1727,3
106,2273,4
107,1849,19
108,3601,96
109,2473,25
110,1836,1
111,2472,1
112,1347,114
113,1959,19
114,2847,15
115,1492,83
116,1751,23
117,1998,15
118,3556,40
119,1977,15
120,2151,79
121,2146,1
122,2149,143
123,2655,9
124,1777,24
125,2386,1
126,2084,24
127,1833,18
128,2636,32
129,2097,20
130,1788,43
131,3583,2
132,2548,21
133,1933,17
134,2750,27
135,2841,84
136,2154,27
137,2436,27
138,1873,14
139,2204,1
140,1604,13
141,2040,18
142,1968,181
143,1810,39
144,2221,12
145,2382,1
146,1736,8
147,1950,19
148,2437,63
149,2930,59
150,1908,4
151,1506,255
152,1627,43
153,2781,67
154,1777,15
155,1876,4
156,4441,35
157,3577,47
158,1266,65
159,2161,16
160,2008,4
161,1873,82
162,3453,56
163,2056,20
164,2190,4
165,1936,23
166,1973,6
167,1334,47
168,1831,255
169,2799,98
170,1583,12
171,1434,47
172,1637,200
173,1996,59
174,1477,255
175,2061,43
176,1237,23
177,1497,1
178,2061,15
179,2082,40
180,2245,22
181,1909,84
182,2351,73
183,2025,1
184,1704,86
185,1665,6
186,1104,40
187,1265,32
188,1563,5
189,2328,8
190,1364,30
191,2149,134
192,1305,6
193,2476,1
194,1152,8
195,1033,1
196,1012,35
197,1868,5
198,1954,2
199,1299,4
200,3593,95
201,1094,2
202,2001,2
203,1393,21
204,1155,10
205,1866,17
206,963,2
207,2275,83
208,2348,55
209,3229,90
210,2393,70
211,2399,1
212,976,15
213,1525,24
214,2071,2
215,702,2
216,2250,40
217,1102,1
218,2708,62
219,680,36
220,1693,20
221,801,46
222,619,96
223,1159,11
224,977,79
225,1019,26
226,613,47
227,2472,70
228,549,28
229,2219,47
230,1196,150
231,3568,92
232,972,134
233,670,2
234,1270,18
235,866,1
236,1599,45
237,418,1
238,813,25
239,2459,57
240,2816,67
241,627,65
242,441,3
243,276,1
244,539,3
245,260,68
246,3788,145
247,165,10
248,2022,71
249,3620,1
250,2643,2
251,3426,1
252,4450,96
253,2468,1
254,3250,29
255,3894,2
256,3954,26
257,2672,1
258,3567,23
259,2928,1
260,2016,2
261,1299,1
262,1817,3
263,3181,111
264,1948,45
265,1796,15
266,2105,4
267,1259,1
268,3390,84
269,1342,15
270,596,1
271,1719,55
272,1633,21
273,523,1
274,2175,13
275,3217,7
276,1744,11
277,3568,1
278,670,1
279,251,1
280,245,1
281,3350,1
282,2735,1
283,4714,37
284,3298,42
285,2585,121
286,2448,3
287,2739,1
288,3305,58
289,3646,2
290,2515,1
291,1727,1
292,2551,79
293,2372,6
294,3171,15
295,2314,1
296,3074,14
297,1700,1
298,2309,27
299,2679,54
300,2238,2
301,3693,18
302,5111,63
303,560,1
304,1931,47
305,296,1
306,1564,12
307,310,11
308,799,1
309,778,24
310,307,12
311,276,1
312,211,54
313,3115,1
314,2858,1
315,4935,33
316,2170,46
317,3064,136
318,4357,22
319,4775,38
320,5564,40
321,2539,2
322,2363,8
323,2113,1
324,2131,1
325,2203,1
326,1971,83
327,2561,109
328,4158,63
329,2997,95
330,1680,5
331,4200,143
332,5478,49
333,2992,65
334,998,8
335,1725,9
336,5012,100
337,2517,26
338,814,4
339,1493,2
340,1344,1
341,2784,1
342,2906,136
343,3889,47
344,810,7
345,1231,1
346,727,4
347,4721,1
348,494,1
349,759,1
350,4068,11
351,807,16
352,2612,15
353,3030,127
354,615,2
355,724,70
356,1576,1
357,613,24
358,490,8
359,651,7
360,742,9
361,2383,5
362,472,15
363,2652,1
364,3681,34
365,3151,2
366,2094,16
367,2774,1
368,3129,83
369,3435,18
370,3582,2
371,4852,60
372,2271,2
373,2360,2
374,2035,1
375,3056,178
376,2890,1
377,1923,15
378,3885,64
379,1575,33
380,4276,57
381,2597,1
382,2410,1
383,1918,11
384,2476,97
385,2316,2
386,3588,143
387,1889,4
388,3991,6
389,1633,188
390,2123,2
391,1792,1
392,2013,22
393,2280,3
394,1395,85
395,2122,187
396,2663,2
397,4101,1
398,2899,116
399,2539,1
400,2396,5
401,2897,52
402,2162,14
403,1045,1
404,3698,47
405,1416,5
406,950,83
407,1121,21
408,1421,53
409,2682,2
410,2946,2
411,2109,14
412,919,1
413,2608,81
414,414,53
415,747,45
416,2895,149
417,236,1
418,325,15
419,1967,152
420,1900,8
421,293,138
422,4028,2
423,5059,28
424,3599,34
425,4162,18
426,6744,2
427,3913,15
428,3078,64
429,3133,2
430,3422,54
431,2393,1
432,2491,2
433,3022,1
434,2201,1
435,2138,6
436,1745,8
437,7487,155
438,3776,1
439,2616,3
440,1502,1
441,1812,9
442,2151,1
443,2109,1
444,2015,8
445,1306,2
446,1769,25
447,1481,1
448,3957,19
449,2430,103
450,4917,1
451,1940,1
452,643,1
453,895,1
454,273,1
455,547,50
456,189,3
457,295,74
458,284,1
459,4918,1
460,4555,1
461,2942,12
462,2929,2
463,3989,31
464,2840,47
465,2825,5
466,2977,1
467,5138,17
468,3080,2
469,1453,20
470,3091,4
471,1851,74
472,4537,1
473,2458,27
474,1890,1
475,2708,33
476,2790,1
477,3282,1
478,4393,2
479,4111,92
480,1878,1
481,3936,51
482,3893,63
483,1144,19
484,289,0
485,2402,6
486,2121,0
487,341,1
488,3903,54
489,246,0
490,413,0
491,347,1
492,245,32
493,324,0
494,190,0
495,4170,1
496,2811,1
497,2593,22
498,2895,15
499,1713,28
500,3075,46
501,1931,6
502,3519,5
503,1613,37
504,1732,7
505,1990,1
506,2725,15
507,2881,62
508,1960,1
509,4421,92
510,1580,2
511,3426,4
512,3381,55
513,1604,3
514,1411,69
515,2104,15
516,1547,101
517,1802,72
518,2744,62
519,1171,1
520,2765,1
521,2207,5
522,2277,35
523,1131,9
524,3141,137
525,265,0
526,3285,108
527,45,43
528,887,38
529,3193,38
530,2881,1
531,2611,2
532,4404,1
533,3166,1
534,3573,12
535,3942,25
536,4903,2
537,2749,3
538,4208,11
539,2657,10
540,2985,47
541,3974,53
542,2592,2
543,1665,3
544,1739,7
545,2203,31
546,3114,2
547,3676,39
548,2438,4
549,2389,9
550,4595,22
551,2257,1
552,4264,41
553,3600,22
554,1366,9
555,2690,51
556,2511,42
557,2923,1
558,1469,17
559,1318,1
560,2577,11
561,2587,4
562,2314,34
563,3997,53
564,1725,18
565,1031,1
566,1075,2
567,2321,8
568,266,1
569,621,2
570,4692,8
571,4032,1
